Hochgeladen?,URL,Framework,ACCOUNT,VIEWS,LIKES,COMMENTS,SHARES,SAVES,PLATTFORM
TRUE,https://www.tiktok.com/@fuat_marta/video/7420829375441947936,,Fuat & Marta,808.400,18.000,255,5.415,12.600,
TRUE,https://youtube.com/shorts/JjPIEliM_To,,Robert Marc Lehmann,796.783,27.007,746,,,
TRUE,https://www.tiktok.com/@finanzfluss_official/video/7423791999188225313,,Finanzfluss,784.800,14.300,317,,,
TRUE,https://www.instagram.com/greator/reel/C7hGvhnoYuK/,,Greator,780.000,21.200,123,,,
TRUE,https://www.facebook.com/reel/1109703254112207,,Fuat & Marta,780.000,3.435,161,481,,
TRUE,https://www.instagram.com/greator/reel/CjnwIoVIx3t/,,Greator,770.000,11.600,159,,,
TRUE,https://www.instagram.com/greator/reel/CixrGGjveDy/,,Greator,770.000,25.000,101,,,
TRUE,https://www.facebook.com/reel/1509008373295907,,Gereon Jörn,764.000,4.500,373,2.530,,
TRUE,https://youtube.com/shorts/em7Mt2XfkPM,,Greator,756.483,27.432,453,,,
TRUE,https://www.tiktok.com/@mrtiefschlaf/video/7273138236573191456,,Chris Surel,744.900,35.300,40,,3.289,
TRUE,https://www.facebook.com/reel/311940584674649,,Greator,744.000,8.675,264,1.682,,
TRUE,https://www.tiktok.com/@fuat_marta/video/7399307594256370977,,Fuat & Marta,742.100,18.000,243,3.675,6.036,
TRUE,https://www.facebook.com/reel/1191992225284233,,Matthias Langwasser,733.431,5.013,860,1.631,,FB
TRUE,https://www.tiktok.com/@meetyourmaster.de/video/7326589964089593121,,Meet Your Master,728.500,18.600,85,,,
TRUE,https://www.tiktok.com/@matthias.langwasser/video/7399688157538700577,,Matthias Langwasser,722.000,11.400,1.011,,6.945,TikTok
TRUE,https://youtube.com/shorts/zyelQVQwUD4,,Greator,703.584,15.373,115,,,
TRUE,https://www.facebook.com/reel/719426906311214,,Meet Your Master,703.000,9.700,82,324,,
TRUE,https://www.tiktok.com/@greator/video/7224456643038203141,,Greator,697.500,25.900,195,5,5.814,
TRUE,https://www.instagram.com/greator/reel/DAfjy6rOV7I/,,Greator,693.000,15.200,405,,,
TRUE,https://youtube.com/shorts/HetXmX5Pruc,,Robert Marc Lehmann,686.120,30.656,824,,,
TRUE,https://youtube.com/shorts/Vw-jOv3WzGg,,Robert Marc Lehmann,684.330,23.902,418,,,
TRUE,https://www.tiktok.com/@rafaelbettencourt2/video/7167403967272520966,,Rafael Bettencourt,682.200,75.400,3.190,4.183,13.000,
TRUE,https://www.facebook.com/reel/685508660104336,,Fuat & Marta,678.000,3.114,56,134,,
TRUE,https://www.instagram.com/fuat_marta/reel/C7zINVdOYK-/,,Fuat & Marta,673.000,11.100,162,,,
TRUE,https://youtube.com/shorts/Y75Ajyb3Qio,,Meet Your Master,672.137,7.831,136,,,
TRUE,https://www.tiktok.com/@fuat_marta/video/7341804443316260128,,Fuat & Marta,670.000,37.500,524,3.146,9.213,
TRUE,https://www.instagram.com/greator/reel/ChXqLDbut20/,,Greator,652.000,8.481,68,,,
TRUE,https://www.instagram.com/greator/reel/ChAax1zD9jW/,,Greator,646.000,12.000,134,,,
TRUE,https://www.instagram.com/greator/reel/C_naAHStcOH/,,Greator,645.000,18.300,407,,,
TRUE,https://www.tiktok.com/@matthias.langwasser/video/7421943678274391328,,Matthias Langwasser,640.600,20.200,732,,9.664,TikTok
TRUE,https://www.tiktok.com/@greator/video/7147694519608151322,,Greator,638.100,34.300,130,4,5.525,
TRUE,https://youtube.com/shorts/84Isl8oOTGw,,Greator,632.402,14.879,456,,,
TRUE,https://www.facebook.com/reel/314088451294386,,Meet Your Master,632.000,5.100,89,,,
TRUE,https://www.instagram.com/greator/reel/C_LeHCYBIF7/,,Greator,622.000,11.400,112,,,
TRUE,https://www.instagram.com/greator/reel/DAnUPPzsf7m/,,Greator,619.000,14.500,192,,,
TRUE,https://www.tiktok.com/@greator/video/7315079046344264992,,Greator,617.900,10.900,115,287,1.834,
TRUE,https://youtube.com/shorts/I_qBkztAyRM,,Robert Marc Lehmann,616.415,40.269,552,,,
TRUE,https://www.tiktok.com/@greator/video/7165176975454211334,,Greator,615.500,26.900,350,837,5.463,
TRUE,https://www.tiktok.com/@meetyourmaster.de/video/7335124925352545568,,Meet Your Master,605.000,36.500,103,,,
TRUE,https://youtube.com/shorts/hpyoI09kUko,,Greator,598.650,7.272,150,,,
TRUE,https://www.tiktok.com/@greator/video/6877613565088402690,,Greator,590.100,53.900,427,2,5.509,
TRUE,https://www.instagram.com/greator/reel/CjLWPFHIdnN/,,Greator,590.000,30.000,123,,,
TRUE,https://youtube.com/shorts/B2i4Ss7MmGU,,Meet Your Master,588.658,17.122,152,,,
TRUE,https://www.instagram.com/greator/reel/Cge5pNBPV_8/,,Greator,583.000,13.200,98,,,
TRUE,https://www.instagram.com/greator/reel/C9Fho73q4Sz/,,Greator,582.000,5.112,438,,,
TRUE,https://www.tiktok.com/@fuat_marta/video/7385578505439825185,,Fuat & Marta,581.600,42.800,1.770,14.500,8.814,
TRUE,https://www.tiktok.com/@greator/video/7137269047313321222,,Greator,571.500,80.000,298,3,20.400,
TRUE,https://www.instagram.com/fuat_marta/reel/C-QM-26v7mv/,,Fuat & Marta,570.000,9.181,151,,,
TRUE,https://www.tiktok.com/@rafaelbettencourt2/video/7247162185426816262,,Rafael Bettencourt,569.100,38.400,3.925,3.730,5.164,
